task,filename,edge_sparsity,kl,logit_diff,prob_diff,prob_diff_10,kendalls_tau,accuracy
gp,eval_acdc_gp-t0.01.out,0.9997815489768982,1.6604718514274628,-2.551847215682741,,,,0.06878306878306878
gp,eval_acdc_gp-t0.018957356524063752.out,0.9999375939369202,1.666392350628499,-2.564004454032454,,,,0.06878306878306878
gt,eval_acdc_gt_t0.1.out,0.17028647661209106,0.4972467881012586,,0.38554335759307434,0.16373654528944434,0.6455660358335955,
gt,eval_acdc_gt_t0.01.out,0.9983773231506348,0.6254558455710317,,0.3597712888096283,0.19534001759810982,0.6356576350383122,
gt,eval_acdc_gt_t0.018957356524063752.out,0.9990326166152954,0.7941392762598649,,0.2945232878980878,0.14862951858923978,0.5748922508588619,
gt,eval_acdc_gt_t0.03593813663804628.out,0.9993758797645569,1.2341030738712135,,0.14382457073071814,0.0645085758637554,0.435047321206229,
gt,eval_acdc_gt_t0.06812920690579614.out,0.999625563621521,1.598609635565016,,0.04303903174799642,0.02359398932801543,0.3542779552064035,
gt,eval_acdc_gt_t0.1291549665014884.out,0.999843955039978,1.9377587930828917,,-0.028753736264565413,-0.00353430730563699,0.3046963867089118,
gt,eval_acdc_gt_t0.24484367468222268.out,0.9999375939369202,1.9394665066712822,,-0.029079370665686582,-0.0035286178439420074,0.304363471915253,
gt,eval_acdc_gt_t0.464158883361278.out,1.0,1.9398434769873525,,-0.029330390742888637,-0.003520372765776934,0.30424674316718986,
ioi,eval_acdc_ioi_t0.5.out,0.9999375939369202,3.5675437516647333,-0.0944419340077214,,,,0.0
